CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
13:30;0;706.61;0;415.65;59.99;3;246.65;224.6;11.93;7.91;7;2988.94;121;2000673163;55.73;250.67;393.49
13:45;0;707.83;15;416.37;59.45;3;246.89;224.84;11.96;7.87;8;2994.05;121;2000673163;59.01;248.07;394.74
14:15;0;709.04;0;417.08;60;3;247.13;225.07;11.97;7.89;7;2998.97;122;2000673163;56.48;250.54;400.3
14:30;0;710.42;0;417.89;59.99;3;247.38;225.32;12.98;8.55;7;3245.53;122;2000673163;61.86;250.09;395.71
14:45;0;711.83;0;418.72;59.99;3;247.63;225.57;13.28;8.77;7;3326.19;122;2000673163;62.88;250.48;395.42
15:00;0;713.26;0;419.57;60;3;247.88;225.82;13.49;8.86;7;3370.45;122;2000673163;63.5;249.95;396.75
15:15;0;714.7;0;420.41;60;3;248.13;226.07;13.53;8.89;7;3382.18;122;2000673163;63.82;250.06;396.71
15:30;0;716.14;0;421.26;59.99;3;248.38;226.32;13.53;9.01;7;3386.05;122;2000673163;63.7;250.33;391.86
15:45;0;717.56;0;422.1;59.99;3;248.63;226.57;13.37;8.98;7;3346.77;122;2000673163;63.68;250.36;388.32
16:00;0;718.95;0;422.91;60;3;248.88;226.82;13.07;8.67;7;3260.48;122;2000673163;63;249.38;392.25
16:15;0;720.36;0;423.74;60;3;249.13;227.07;13.27;8.92;7;3312.24;122;2000673163;62.91;249.62;387.35
16:30;0;721.78;0;424.58;59.99;3;249.39;227.33;12.79;8.69;7;3204.25;122;2000673163;62.04;250.46;384.05
16:45;0;723.12;0;425.36;60;3;249.64;227.58;12.56;8.47;7;3152.79;122;2000673163;61.56;251.07;387.7
17:00;0;724.43;0;426.14;59.99;3;249.89;227.83;12.21;8.29;7;3075.6;122;2000673163;60.93;251.95;386.33
17:15;0;725.7;0;426.88;60;3;250.14;228.08;11.86;8.02;7;2984.87;122;2000673163;60.22;251.7;387.42
17:30;0;726.92;0;427.6;60;3;250.39;228.33;11.46;7.71;7;2878.57;122;2000673163;59.09;251.13;388.5
17:45;0;728.09;0;428.29;60;3;250.64;228.58;10.99;7.34;7;2760.81;122;2000673163;57.9;251.35;391.75
18:00;0;728.97;0;428.8;60;3;250.89;228.83;8.1;5.42;7;2043.37;122;2000673163;52.35;252.14;393.25
18:15;0;729.43;0;429.08;59.99;3;251.14;229.08;4.29;2.81;7;1082.75;122;2000673163;47.71;252.37;404.91
18:30;0;729.73;0;429.26;59.99;3;251.39;229.33;2.85;1.88;7;717.11;122;2000673163;42.96;251.68;406.05
18:45;0;730.01;0;429.42;59.99;3;251.64;229.58;2.57;1.69;7;645.43;122;2000673163;40.97;251.66;408.15
19:00;0;730.29;0;429.58;59.99;3;251.89;229.83;2.62;1.73;7;660.23;122;2000673163;40.1;252.08;407.58
19:15;0;730.45;0;429.68;59.99;3;252.14;230.08;1.52;1.06;7;383.33;122;2000673163;36.56;251.87;398.76
19:30;0;730.57;0;429.75;59.99;3;252.39;230.33;1.13;0.81;7;283.66;122;2000673163;34.53;251.97;393.39
19:45;0;730.64;0;429.79;60;3;252.64;230.58;0.63;0.5;7;158.95;122;2000673163;32.21;251.84;381.88
20:00;0;730.68;0;429.81;60;3;252.89;230.83;0.32;0.3;7;79.46;122;2000673163;30.35;251.51;374.32
20:15;0;730.68;0;429.81;60;3;253.14;231.08;0.08;0.12;7;18.84;122;2000673163;29.06;250.66;336.42
20:30;0;730.68;0;429.81;60;3;253.39;231.22;0.01;0.02;1;1.35;126;2000673163;27.53;250.22;269.91
20:45;0;730.68;0;429.81;59.99;3;253.47;231.22;0;0;3;0;126;2000673163;26.53;250.45;230.22
